Snapshot Date,Company Name,Company ID,Account Name,Account ID,Tenant Type,Tenant ID,Account Local Name,Success Plan,Category Name,Subcategory Name,Capability Name,Signal Name,Definition,Score,Value,MoM Change,QoQ Change,Benchmark
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Efficiency,Transaction Efficiency,Order Ingestion Error ProM Alerts,Total number of Order Ingestion Error alerts.,0,0,0,0,<=1
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Customization,Org Security,Password Lockout Period,Indicates if a lockout duration is set after reaching the max invalid login attempts.,100,30,0,,>=29
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Efficiency,Transaction Efficiency,Rowlock Error Rates,Errors that occur when a process attempts to modify a row that is already locked by another process. Attempts to access a locked record will timeout after 10 sec. Identifies DB CPU performance impacts.,0,73677,"20,361","-18,938","<=28,735"
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Efficiency,Transaction Efficiency,Throughput Efficiency,Gauges how effectively transactions are processed relative to power utilization (transactions per unit of DB CPU consumed). A high value may lead to slowness or throttling as resources become strained.,62,102,-7,-39,<=106
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Customization,Org Security,Obscure Secret Answer for Password,Indicates if the security answer is obfuscated during entry.,100,1,0,,>=0
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Efficiency,User Experience Efficiency,Concurrent UI Error ProM Alerts,Total number of Concurrent UI Error alerts.,0,0,0,0,<=1
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Efficiency,Transaction Efficiency,Invocable Action for Apex Failure ProM Alerts,Total number of Invocable Action for Apex Failure alerts.,0,0,0,0,<=1
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Efficiency,Integration Efficiency,Durable Streaming API Limit ProM Alerts,Total number of Durable Streaming API Limit alerts.,0,0,0,0,<=1
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Efficiency,Transaction Efficiency,Apex Queueable Performance ProM Alerts,Total number of Apex Queueable Performance alerts.,0,0,0,0,<=1
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Efficiency,Transaction Efficiency,Apex Queueable Dequeue Latency ProM Alerts,Total number of Apex Queueable Dequeue Latency alerts.,0,0,0,0,<=1
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Efficiency,Integration Efficiency,Hourly OData XDS Callouts Limit ProM Alerts,Total number of Hourly OData XDS Callouts Limit alerts.,0,0,0,0,<=1
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Customization,Org Security,SSO Enabled,Indicates whether Single Sign-On (SSO) is enabled to simplify and secure user authentication.,100,1,0,,>=0
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Efficiency,Data Efficiency,Dashboard Performance ProM Alerts,Total number of Dashboard Performance alerts.,0,0,0,0,<=1
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Customization,Org Security,Password Question Requirement,Indicates if restrictions are in place to prevent using the password in the recovery question.,100,1,0,,>=0
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Observability,Diagnostics,ApexGuru Adoption,Indicates whether ApexGuru was accessed at least once in the past 90 days. This is an AI-based Scale Center feature designed to fix anti-patterns and implementation hotspots.,100,1,0,,>=0
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Efficiency,Transaction Efficiency,Concurrent Apex Errors,"Occurs when too many long-running synchronous Apex transactions are executing simultaneously, exceeding limits. This can lead to performance issues and disruptions as subsequent transactions fail.",100,0,"-14,974","-6,902",>=0
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Observability,Diagnostics,Scale Center Adoption,"Indicates whether Scale Center was implemented and utilized within the last 90 days. Scale Center is employed to monitor, analyze and optimize org performance and scalability.",100,1,0,,>=0
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Customization,Org Security,Password Complexity Requirement,"Indicates if specific character types (e.g., letters, numbers, symbols) are required.",100,4,0,,>=1
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Efficiency,Data Efficiency,Database CPU Consumption Time ProM Alerts,Total number of Database CPU Consumption Time alerts.,0,0,0,0,<=1
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Efficiency,User Experience Efficiency,Web-to-X Request Limit ProM Alerts,Total number of Web-to-X Request Limit alerts.,0,0,0,0,<=1
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Efficiency,Data Efficiency,(MCAE) Prospects with Excessive Activity ProM Alerts,Total number of Prospects with Excessive Activity alerts.,0,0,0,0,<=1
9/1/25,ENEL SPA,aBR0M000000Cdnq,Enel Global Services S.r.l. (ENEL Italy Free Market),00130000002xI63,force.com,00D24000000pTCu,Enel Global Services S.r.l. (ENEL Italy Free Market),Signature,Technical Health,Efficiency,Transaction Efficiency,Search Query Error ProM Alerts,Total number of Search Query Error alerts.,0,0,0,0,<=1
