organizationid,thrown,location,entrypoint,line,count
sample_orgid,Query of LOB fields caused heap usage to exceed limit.,,/apexremote,5756,153172
sample_orgid,Query of LOB fields caused heap usage to exceed limit.,,/apexremote,5744,87817
sample_orgid,Apex CPU time limit exceeded,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC060_ScriptViewer/ACTION$getScript,26,6470
sample_orgid,CPU_ENFORCED 15000,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC060_ScriptViewer/ACTION$getScript,,6045
sample_orgid,CPU_ENFORCED 15000,,/apex/ne__DocumentComponentPDF,,2946
sample_orgid,JSON string exceeds heap size limit,,/aura ServerServiceImpl::action aura://ApexActionController/ACTION$execute(ITA_IFM_LWCC005_AccountHistory.doInit),114,488
sample_orgid,Too many SOQL queries: 201,ITA_IFM_BA850_OpportunityDeadline,/mockRequest/BatchApexJobItem,67,433
sample_orgid,NE:Too many query rows: 50001,,/apexremote,5756,403
sample_orgid,Too many SOQL queries: 101,ITA_IFM_CVPResult,/services/Soap/class/ITA_IFM_CVPResult,73,321
sample_orgid,Too many query rows: 50001,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC063_CancelActivityProcess/ACTION$cancelActivityProcess,25,187
sample_orgid,NE:Too many query rows: 50001,,/apexremote,5744,179
sample_orgid,Query of LOB fields caused heap usage to exceed limit.,ITA_IFM_CasesSelector,/services/apexrest/DocInbound/doDocinboundProcess,146,153
sample_orgid,Apex CPU time limit exceeded,,/aura ServerServiceImpl::action aura://ApexActionController/ACTION$execute(ITA_IFM_LWCC035_ScriptViewer.getScript),7,112
sample_orgid,Query of LOB fields caused heap usage to exceed limit.,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC313_DTP_ReinvioMail/ACTION$getAsyncCommunication,176,111
sample_orgid,CPU_ENFORCED 15000,,/aura ServerServiceImpl::action aura://ApexActionController/ACTION$execute(ITA_IFM_LWCC035_ScriptViewer.getScript),,105
sample_orgid,Too many query rows: 50001,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC095_Assets/ACTION$getAssets,14,90
sample_orgid,Batchable instance is too big: ITA_IFM_UndeliveredDocumentClosureBatch,ITA_IFM_UndeliveredDocumentClosureBatch,/mockRequest/BatchApexChunk/Serial,,84
sample_orgid,Too many SOQL queries: 101,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC011_ReclamoFinalRespContr/ACTION$callDocumentale,381,64
sample_orgid,JSON string exceeds heap size limit,JSON,/apex/ITA_IFM_VFP081SWADocumentale,517,55
sample_orgid,Apex CPU time limit exceeded,ITA_IFM_Activity_Trigger,/services/Soap/c/63.0,,51
sample_orgid,CPU_ENFORCED 15000,,/services/Soap/c/63.0,,51
sample_orgid,Apex CPU time limit exceeded,ITA_IFM_Case_Trigger,/services/Soap/c/63.0,,48
sample_orgid,Too many SOQL queries: 101,ITA_IFM_WS017_R2DResult,/services/Soap/class/ITA_IFM_WS017_R2DResult,67,48
sample_orgid,Too many SOQL queries: 101,ITA_IFM_WS017_R2DResult,/services/Soap/class/ITA_IFM_WS017_R2DResult,220,32
sample_orgid,Too many query rows: 50001,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC631_SupplyTable/ACTION$getItems,50,32
sample_orgid,Apex CPU time limit exceeded,,/aura ServerServiceImpl::action aura://ApexActionController/ACTION$execute(ITA_IFM_LWCC066_IdentFornCliente.updateBypassInteraction),202,31
sample_orgid,CPU_ENFORCED 15000,,/aura ServerServiceImpl::action aura://ApexActionController/ACTION$execute(ITA_IFM_LWCC066_IdentFornCliente.updateBypassInteraction),,30
sample_orgid,Too many SOQL queries: 101,,/services/Soap/c/65.0,1993,29
sample_orgid,Too many queueable jobs added to the queue: 2,ITA_IFM_MassAnnulment,/mockRequest/BatchApexJobItem,73,27
sample_orgid,Too many query rows: 50001,,/aura ServerServiceImpl::action aura://ApexActionController/ACTION$execute(ITA_IFM_LWCC041_SelectionSupplies.retrieveSupply),660,26
sample_orgid,Too many SOQL queries: 101,ITA_IFM_VulnerabilitiesSelector,/apex/ITA_IFM_VFP050_DocumentValidation,73,25
sample_orgid,Too many query rows: 50001,ITA_IFM_ContactsSelector,/services/apexrest/uniqueId,28,21
sample_orgid,Too many SOQL queries: 101,ITA_IFM_RicezioneEsito,/services/Soap/class/ITA_IFM_RicezioneEsito,541,20
sample_orgid,Query of LOB fields caused heap usage to exceed limit.,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC631_SupplyTable/ACTION$getItems,79,18
sample_orgid,Too many queueable jobs added to the queue: 2,ITA_IFM_BA453_DigestFlow_reWork,/mockRequest/BatchApexJobItem,108,16
sample_orgid,CPU_ENFORCED 15000,,/mockRequest/PlatformEvents,,15
sample_orgid,Apex CPU time limit exceeded,ITA_IFM_Case_Item_Trigger,/services/Soap/c/63.0,,14
sample_orgid,Too many SOQL queries: 101,,/services/Soap/c/63.0,1993,14
sample_orgid,JSON string exceeds heap size limit,,/aura ServerServiceImpl::action aura://ApexActionController/ACTION$execute(ITA_IFM_LWCC131_Attachment.retrieveDoc),52,13
sample_orgid,Query of LOB fields caused heap usage to exceed limit.,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC231_AEACaseContainer/ACTION$loadCase,14,12
sample_orgid,Too many SOQL queries: 101,,/mockRequest/PlatformEvents,17,11
sample_orgid,Too many SOQL queries: 101,ITA_IFM_CVPResult,/services/Soap/class/ITA_IFM_CVPResult,203,10
sample_orgid,wrts_prcgvr:Too many SOQL queries: 101,ITA_IFM_NE_OrderItem_Trigger,/services/Soap/c/63.0,,10
sample_orgid,Too many query rows: 50001,ITA_IFM_ContactsSelector,/services/apexrest/gcdh/bs/customercase/,37,10
sample_orgid,Too many queueable jobs added to the queue: 2,ITA_IFM_Queueable_Orchestrator,/mockRequest/QueuedApexJob,189,9
sample_orgid,Apex CPU time limit exceeded,,/apexremote,67,9
sample_orgid,CPU_ENFORCED 15000,,/aura ServerServiceImpl::action aura://ApexActionController/ACTION$execute(ITA_IFM_LWCC025_OutgoingCustomerSection.checkOnAssets),,8
sample_orgid,Apex CPU time limit exceeded,,/aura ServerServiceImpl::action aura://ApexActionController/ACTION$execute(ITA_IFM_LWCC025_OutgoingCustomerSection.checkOnAssets),77,8
sample_orgid,wrts_prcgvr:Too many SOQL queries: 101,ITA_IFM_Case_Item_Trigger,/services/Soap/c/63.0,,7
sample_orgid,Too many SOQL queries: 101,,/apexremote,314,7
sample_orgid,Too many query rows: 50001,ITA_IFM_VFC038_AnagUtils,/apex/ITA_IFM_NewAccount,613,7
sample_orgid,Apex heap size too large,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC631_SupplyTable/ACTION$getItems,83,6
sample_orgid,Too many SOQL queries: 101,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC011_ReclamoFinalRespContr/ACTION$callDocumentale,402,6
sample_orgid,Query of LOB fields caused heap usage to exceed limit.,,/aura ServerServiceImpl::action aura://ApexActionController/ACTION$execute(ITA_IFM_LWCC061_SearchAccountContact.getAccountContactRole),12,5
sample_orgid,Too many SOQL queries: 101,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC176_PaymentMethodSection/ACTION$getRecord,255,5
sample_orgid,CPU_ENFORCED 15000,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC222_VSAQuoteContainer/ACTION$confirmQuote,,4
sample_orgid,Too many query rows: 50001,,/aura ServerServiceImpl::action aura://ApexActionController/ACTION$execute(ITA_IFM_SearchRecord.searchRecord),12,4
sample_orgid,Apex heap size too large,ITA_IFM_Queueable_028_InvokeDocument_App,/mockRequest/QueuedApexJob,81,4
sample_orgid,Apex CPU time limit exceeded,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC222_VSAQuoteContainer/ACTION$confirmQuote,98,4
sample_orgid,Too many SOQL queries: 101,ITA_IFM_RicezioneEsito,/services/Soap/class/ITA_IFM_RicezioneEsito,849,4
sample_orgid,Too many SOQL queries: 101,ITA_IFM_Case_Trigger,/services/Soap/c/63.0,,4
sample_orgid,Too many SOQL queries: 101,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC416_Change_Billing_Address/ACTION$applychanges,118,4
sample_orgid,Too many SOQL queries: 101,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC416_Change_Billing_Address/ACTION$applychanges,141,3
sample_orgid,Apex heap size too large,,/aura ServerServiceImpl::action aura://ApexActionController/ACTION$execute(ITA_IFM_LWCC054_StatoContiForm.retrieveCustomerBalance),7,3
sample_orgid,Query of LOB fields caused heap usage to exceed limit.,ITA_IFM_VFC046_Util_Class_Bulk,/mockRequest/QueuedApexJob,51,3
sample_orgid,Too many SOQL queries: 101,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC011_ReclamoFinalRespContr/ACTION$callDocumentale,1153,2
sample_orgid,Query of LOB fields caused heap usage to exceed limit.,ITA_IFM_ContentVersionTrigger,/aura ServerServiceImpl::action serviceComponent://ui.chatter.components.aura.components.forceChatter.chatter.PublisherFileAttachmentController/ACTION$saveContentVersion,,2
sample_orgid,Too many SOQL queries: 101,ITA_IFM_WS017_R2DResult,/services/Soap/class/ITA_IFM_WS017_R2DResult,862,2
sample_orgid,Apex CPU time limit exceeded,ITA_IFM_Activity_Trigger,/services/Soap/c/65.0,,2
sample_orgid,Too many SOQL queries: 101,ITA_IFM_WS017_R2DResult,/services/Soap/class/ITA_IFM_WS017_R2DResult,73,2
sample_orgid,Apex CPU time limit exceeded,,/aura ServerServiceImpl::action apex://ITA_IFM_VFC107_Bolletta20/ACTION$confirmWizard,67,2
sample_orgid,JSON string exceeds heap size limit,JSON,/apex/ITA_IFM_VFP303_MutuoConsenso,344,2
sample_orgid,wrts_prcgvr:Too many SOQL queries: 101,,/aura ServerServiceImpl::action apex://ITA_IFM_LCC033_SelfCareVas/ACTION$confirmAction,73,2
sample_orgid,CPU_ENFORCED 15000,,/apexremote,,2
sample_orgid,CPU_ENFORCED 65000,,/mockRequest/QueuedApexJob,,2
sample_orgid,Apex heap size too large,ITA_IFM_Queueable_InvokeDocumentale,/mockRequest/QueuedApexJob,85,2
sample_orgid,Too many SOQL queries: 101,ITA_IFM_WS017_R2DResult,/services/Soap/class/ITA_IFM_WS017_R2DResult,313,2
