organizationid,reason,failing_class,entrypoint,line,count
sample_orgid,Developer script exception from sample-customer,ITA_IFM_BulkIntegrationLog,/mockRequest/BatchApexChunk/Serial,193,45789
sample_orgid,Developer script exception from sample-customer,ITA_IFM_ContentVersionTrigger,/aura ServerServiceImpl::action serviceComponent://ui.chatter.components.aura.components.forceChatter.chatter.PublisherFileAttachmentController/ACTION$saveContentVersion,66,3640
sample_orgid,Developer script exception from sample-customer,ITA_IFM_InstallmentPlan_Controller,/apex/ITA_IFM_InstallmentPlan,1558,1432
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Interaction_Controller,/apex/ITA_IFM_Interaction,222,1098
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/services/Soap/u/47.0,317,959
sample_orgid,Developer script exception from sample-customer,ITA_IFM_DM017_AccountContactRole,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,3079,896
sample_orgid,Developer script exception from sample-customer,ITA_IFM_BA013_CvpTimeOut,/mockRequest/BatchApexChunk/Serial,341,702
sample_orgid,Developer script exception from sample-customer,ITA_IFM_VFC033_EstrattoConto,/apex/ITA_IFM_VFP033_EstrattoConto,286,604
sample_orgid,Developer script exception from sample-customer,ITA_IFM_DM017_AccountContactRole,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,28,273
sample_orgid,Developer script exception from sample-customer,ITA_IFM_VFCXXX_VariazionaAnagAccount2,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,659,192
sample_orgid,Developer script exception from sample-customer,ITA_IFM_DM000_SObject,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,659,187
sample_orgid,Developer script exception from sample-customer,ITA_IFM_WSAsset2Order,/services/apexrest/ITA_IFM_WSAsset2Order,79,185
sample_orgid,Developer script exception from sample-customer,ITA_IFM_InstallmentPlan_Controller,/apex/ITA_IFM_InstallmentPlan,999,151
sample_orgid,Developer script exception from sample-customer,ITA_IFM_VFC037_ContactList,/apex/ITA_IFM_VFPXXX_VariazioneAnagAccount,48,111
sample_orgid,Developer script exception from sample-customer,ITA_IFM_InstallmentPlan_Controller,/apex/ITA_IFM_InstallmentPlan,2753,79
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/Soap/c/63.0,809,72
sample_orgid,,,/mockRequest/QueuedApexJob,,66
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/services/Soap/u/47.0,501,65
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/mockRequest/QueuedApexJob,501,65
sample_orgid,Developer script exception from sample-customer,ITA_IFM_CustomerCommunityUserService,/services/apexrest/ITA_IFM_CustomerCommunityUserService,62,51
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/services/Soap/c/63.0,529,41
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/services/Soap/u/47.0,493,40
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Trigger,/apex/ITA_IFM_VFP033_ManageVas,59,33
sample_orgid,Developer script exception from sample-customer,ITA_IFM_NE_OrderItem_Trigger,/mockRequest/ApexFuture,1062,32
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/apex/ITA_IFM_VFP033_ManageVas,59,25
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Trigger,/apex/ITA_IFM_VFP063_Management_Loyalty,67,21
sample_orgid,,,/mockRequest/ApexFuture,,21
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Case_Item_Trigger,/services/Soap/class/ITA_IFM_WS017_R2DResult,1413,20
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Annulment_UtilClass_CB,/apex/ITA_IFM_VFP204_TakeOverCombined,1232,20
sample_orgid,Developer script exception from sample-customer,ITA_IFM_StateMachineQueue,/mockRequest/QueuedApexJob,79,16
sample_orgid,Developer script exception from sample-customer,ITA_IFM_BA016_SWAPrecheck2g,/mockRequest/BatchApexChunk/Serial,67,14
sample_orgid,Developer script exception from sample-customer,ITA_IFM_AccountTrigger,/apexremote,,13
sample_orgid,Developer script exception from sample-customer,ITA_IFM_Validation_Document_Trigger,/apexremote,1662,13
sample_orgid,Developer script exception from sample-customer,PhaseManagerUtils_1_1,/apex/ITA_IFM_VFP098_OrderItemAnnulment,13,10
